names,authors,descrips,paragraphs
Oh The Biomes You'll Go,AOCAWOL,"Client and server, Adventure, Magic, World Generation, Fabric, Forge, Quilt","An Adventure & Exploration mod like no other with unique, magical, realistic, and detailed biomes!"
Resourceful Lib,ThatGravyBoat,"Client and server, Library, Fabric, Forge, NeoForge",Resourceful Lib
Farmer's Delight [Fabric],Zifiv,"Client and server, Decoration, Food, Utility, Fabric",Farmer's Delight is a mod that gently expands upon farming and cooking in Minecraft.
Hold That Chunk,dlee13,"Client, Utility, Fabric",Delays client chunk unloading
Better Combat,ZsoltMolnarrr,"Client and server, Adventure, Equipment, Library, Fabric, Forge","?? Easy, spectacular and fun melee combat system from Minecraft Dungeons."
spark,lucko,"Client or server, Utility, Fabric, Forge, Quilt","spark is a performance profiler for Minecraft clients, servers and proxies."
Let Me Despawn,frikinjay,"Server, Optimization, Bukkit, Fabric, Forge, NeoForge, Paper, Purpur, Quilt",Improves performance by tweaking mob despawn rules. Say bye to pesky unintentional persistent mobs.
InvMove,PieKing1215,"Client, Transportation, Utility, Fabric, Forge, NeoForge, Quilt",Forge/Fabric/Quilt mod that adds the ability to walk around while in inventories
Item Highlighter,Grend,"Client, Adventure, Equipment, Utility, Fabric, Forge, NeoForge",Highlights newly picked-up items. Simple and convenient.
Rubidium,Asek3,"Client, Optimization, Forge, NeoForge","Unofficial Fork of CaffeineMC's ""Sodium"", made to work with FML"
Make Bubbles Pop,Tschipcraft,"Client, Adventure, Decoration, Fabric, Forge, NeoForge, Quilt",Client-side mod that makes bubble particles pop and lets them rise realistically to the water surface.
ClearDespawn,strikerrocker,"Client, Utility, Fabric, Forge, NeoForge",Make items blink when they're about to despawn
FastAnim,Lunade_,"Client, Optimization, Fabric, Quilt",Speeds up entity animation calculations!
Cave Dust,LizIsTired,"Client, Decoration, Fabric",Dust is a Minecraft mod that adds the white ash particle from the Basalt Deltas biome to the underground to simulate dust!
Auth Me,axieum,"Client, Utility, Fabric",Authenticate yourself and re-validate your session
Cardinal Components API,Pyrofab,"Server, Library, Fabric, Quilt","A data attachment API that is easy, modular, and extremely fast."
Controlify,isxander,"Client, Utility, Fabric, Quilt",Adds controller support to Minecraft!
Carpet,altrisi,"Server, Game Mechanics, Utility, Fabric",Take full control over your vanilla game
BetterEnd,quiqueck,"Client and server, Decoration, Mobs, World Generation, Fabric","New Biomes, mysterious rituals and Mobs for your End"
BedrockIfy,juancarloscp52,"Client, Game Mechanics, Utility, Fabric, Quilt",BedrockIfy is a fabric Minecraft Mod that implements some useful Minecraft Bedrock Edition features into Minecraft Java Edition.
Prism,Grend,"Client, Decoration, Library, Utility, Fabric, Forge",A library all about color! Provides lots of color-related functionality for dependent mods.
TerraBlender,Adubbz,"Client and server, Library, World Generation, Fabric, Forge, NeoForge",A library mod for adding biomes in a simple and compatible manner!
LambdaBetterGrass,LambdAurora,"Client, Decoration, Fabric, Quilt",A Minecraft mod which adds better grass and snow to the game.
Cherished Worlds,TheIllusiveC4,"Client, Management, Utility, Fabric, Forge, Quilt","Favorite/pin/bookmark certain worlds, which will always be at the top of the list and cannot be deleted."
Cull Leaves,Motschen,"Client, Optimization, Fabric, Forge, Quilt","Adds culling to leaf blocks, providing a huge performance boost over vanilla."
Fabric Seasons,D4rkness_King,"Client or server, Adventure, Utility, Fabric","A simple mod that adds seasons to the game, dynamically changing biomes as you play."
Terralith,Stardust,"Server, World Generation, Fabric, Forge, Quilt","Terralith takes Minecraft's 1.18 massive world generation overhaul, and turns it up to eleven."
Better End Sky,PinkGoosik,"Client, Decoration, Fabric, Quilt",Ripoff of the Better End mod's sky renderer in a standalone mod for a client-side only usage.
Stendhal,NebSpacefarer,"Client, Utility, Fabric","Stendhal is a client-side Fabric mod offering new and enhanced visual utilities for books, signs, anvil and the in-game chat."
ukulib,uku,"Client, Library, Utility, Fabric, Quilt",small utility library used in my mods
ChoiceTheorem's Overhauled Village,ChoiceTheorem,"Server, Adventure, World Generation, Fabric, Forge, NeoForge, Quilt","Enhances and creates new villages and pillager outposts, that perfectly fit into your Minecraft world."
Legendary Tooltips,Grend,"Client, Adventure, Equipment, Utility, Fabric, Forge",Give your rare items a fancier tooltip! Also adds additional tooltip configuration options.
Open Parties and Claims,thexaero,"Server, Library, Utility, Fabric, Forge, NeoForge, Quilt","Adds the ability to claim chunks and make player parties, integrates with Xaero's Minimap and World Map"
First-person Model,tr7zw,"Client, Decoration, Equipment, Social, Fabric, Forge",Enables the third-person Model in first-person
ClickThrough,Giselbaer,"Client, Utility, Fabric",Click through signs and item frames to chests
Controlling,jaredlll08,"Client, Utility, Fabric, Forge",Adds a search bar to the Key-Bindings menu
When Dungeons Arise,aureljz,"Server, Adventure, World Generation, Fabric, Forge",Adds various elegant -and likely hostile- roguelike dungeons and structures that generate on your worlds!
ExtraSounds,stashymane,"Client, Fabric",UI sounds & more.
Pehkui,Virtuoel,"Client and server, Game Mechanics, Library, Fabric, Forge, NeoForge, Quilt","Lets you change the size of most entities, shrinking them smaller or growing them larger"
Bad Wither No Cookie - Reloaded,kreezxil,"Client, Game Mechanics, Fabric, Forge, NeoForge",Localizes the wither and dragon death sounds.
BCLib,quiqueck,"Client and server, Library, Fabric",A Library Mod for the BetterX Team
ThreadTweak,getchoo,"Client or server, Optimization, Utility, Fabric, Quilt",Improve and tweak Minecraft thread scheduling. Fork of Smooth Boot for ³1.20
Advancement Plaques,Grend,"Client, Adventure, Game Mechanics, Utility, Fabric, Forge",Replace those boring advancement popups with something flashier.
Item Model Fix,peppercode1,"Client, Utility, Fabric",A Fabric mod that fixes gaps in generated item models.
Sodium Shadowy Path Blocks,Rynnavinx,"Client, Decoration, Fabric, Quilt",Reintroduces vanilla-like smooth lighting to non-full blocks (e.g. dirt paths and how they have dark shading when directly next to a full block) when using Sodium.
Enchantment Descriptions,Darkhax,"Client, Magic, Utility, Fabric, Forge, NeoForge, Quilt",Provides a way to get enchantment descriptions from enchanted books.
Create,simibubi,"Client and server, Decoration, Technology, Utility, Forge, NeoForge",Aesthetic Technology that empowers the Player
BetterNether,quiqueck,"Client and server, Equipment, Mobs, World Generation, Fabric","More Biomes, More Mobs, More Tools for the fiery Dimension"
Origins,Apace,"Client and server, Adventure, Fabric, Quilt",Players choose an Origin at the beginning of the game to gain benefits and drawbacks
Chipped,Terrarium,"Client and server, Decoration, Fabric, Forge",Every block deserves a friend.
Dismount Entity,Serilum,"Server, Game Mechanics, Utility, Fabric, Forge, NeoForge, Quilt",?? Allows players to dismount/remove/exit entities/mobs from mounted entities without breaking them.
Highlight,ThatGravyBoat,"Client, Decoration, Fabric, Forge, NeoForge",Highlight changes the visualization of specific blocks in the game to have more aligned selections to their models.
Enhanced Attack Indicator,Minenash,"Client, Decoration, Utility, Fabric",Uses the attack indicator for more than just melee attacks
Chunky,pop4959,"Client or server, Optimization, Utility, World Generation, Bukkit, Fabric, Folia, Forge, Paper, Spigot, Sponge","Pre-generates chunks, quickly and efficiently"
NetherPortalFix,BlayTheNinth,"Server, Game Mechanics, Utility, Fabric, Forge",Ensures correct destinations when travelling back and forth through Nether Portals in Multiplayer.
Oculus,Asek3,"Client, Decoration, Optimization, Forge, NeoForge","Unofficial Fork of ""Iris"", made to work with FML"
BetterHurtCam,uku,"Client, Cursed, Utility, Fabric, Quilt",nohurtcam but better
Deeper and Darker,nitrodynamite18,"Client and server, Adventure, Fabric, Forge, Quilt","A Minecraft 1.19+ mod which features more blocks, items, armors, and hidden mysteries to complement the new Deep Dark biome. Our website: https://kyanitemods.dev"
Show Me Your Skin!,enjarai,"Client, Equipment, Utility, Fabric",A mod to hide or customize armor rendering.
Gamma Utils (Fullbright),Sjouwer,"Client, Utility, Fabric, Quilt","Gamma / Brightness / Night Vision mod, making it easy to see in the dark. Basically Fullbright for Fabric."
Noxesium,Aeltumn,"Client, Optimization, Fabric",Improves client performance and play experience on large multiplayer servers.
FeyTweaks,Feytox,"Client, Optimization, Fabric, Forge",Mod for optimizing signs and beacons.
YUNG's Better Dungeons,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A complete redesign of Minecraft's dungeons!
Disable Custom Worlds Advice,rdvdev2,"Client, Utility, World Generation, Fabric, Quilt",Minecraft asking you if you want to load a custom world is annoying. Let's fix it!
Fadeless,DerpDerpling,"Client, Utility, Fabric, Quilt",Remove fade out animations in Minecraft (1.20+)
Colormatic,kvverti,"Client, Decoration, Utility, Fabric, Quilt",Enables resource packs to add and change block and biome colors.
YUNG's Better Mineshafts,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A long-awaited and much-needed abandoned mineshaft overhaul!
Roughly Enough Professions (REP),Mrbysco,"Client and server, Fabric, Forge, NeoForge",An REI addon that adds profession workstations
YUNG's Better Ocean Monuments,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A complete redesign of Minecraft's ocean monuments!
SuperMartijn642's Core Lib,SuperMartijn642,"Client and server, Library, Fabric, Forge, NeoForge, Quilt",SuperMartijn642's Core Lib adds lots of basic implementations that allow for similar code between different Minecraft versions!
Remove Reloading Screen,dima_dencep,"Client, Optimization, Fabric, Forge, NeoForge, Quilt","Makes resource packs load in the background, allowing you to do other things while waiting!"
Double Doors,Serilum,"Server, Game Mechanics, Utility, Fabric, Forge, NeoForge, Quilt","?? Multiple identical double doors, trapdoors and fence gates can be opened simultaneously."
Amecs,Siphalor,"Client, Utility, Fabric",Improves your keys & controls setup by providing modifier keys and making multi-functional keys a thing.
TotemCounter,uku,"Client, Utility, Fabric, Quilt",counts the amounts of skill issues (totem pops)
EvergreenHUD,isxander,"Client, Utility, Fabric, Forge",Improves your heads up display.
Mouse Wheelie,Siphalor,"Client, Utility, Fabric","A ""small"" clientside mod featuring item scrolling, inventory sorting, item refilling and more!"
YUNG's Better Strongholds,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A complete redesign of Minecraft's strongholds!
MacOS Input Fixes,hamarb123,"Client, Utility, Fabric","This mod fixes many Minecraft macOS input bugs. It makes scrolling with shift work properly on macOS, left click + control = left click (instead of right click) and more fixes!"
SuperMartijn642's Config Lib,SuperMartijn642,"Client and server, Library, Fabric, Forge, NeoForge, Quilt",Config Lib makes dealing with config files just a bit easier.
Resourceful Config,ThatGravyBoat,"Client and server, Library, Fabric, Forge, NeoForge",Resourceful Config is a mod that allows for developers to make cross-platform configs
ServerCore,Wesley1808,"Client or server, Optimization, Utility, Fabric, Forge",A mod that aims to optimize the minecraft server.
YUNG's Better Nether Fortresses,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A complete redesign of Minecraft's Nether fortresses!
Visual Workbench,Fuzs,"Client and server, Utility, Fabric, Forge",Items stay inside of crafting tables and are also rendered on top. It's really fancy!
Emotecraft,KosmX,"Client and server, Decoration, Fabric, Forge, Quilt",Create your own emotes in Minecraft.
Ctrl Q,Mrredstone5230,"Client, Utility, Fabric, Forge","This mod forces ""CTRL+Q"" to be used to drop a stack of item"
Dynamic Surroundings: Remastered Fabric Edition,maksim789456,"Client, Adventure, Decoration, Fabric",Remastered Fabric Version of Dynamic Surroundings mod for Minecraft
Better Animations Collection,Fuzs,"Client, Mobs, Fabric, Forge",Changing the in-game models to allow for better animations and subtle effects.
Title Fixer,thegameratort,"Client, Utility, Fabric",Simple client side mod that makes titles displayed on-screen always fit inside the screen space.
CorgiLib,CorgiTaco,"Client and server, Library, Fabric, Forge",A library mod containing code used across Corgi Taco's mods.
YUNG's Better Desert Temples,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",A complete redesign of Minecraft's desert temples!
Towns and Towers,Biban_Auriu,"Server, Adventure, World Generation, Fabric, Forge, NeoForge, Quilt","Spice up your world with new villages, pillager outposts, and even new ships!"
ViaFabric,creeper123123321,"Client or server, Utility, Fabric",Allows to connect to older servers with older versions
Chatting,Wyvest,"Client, Utility, Forge","Chatting is a chat mod adding utilities such as extremely customizable chat tabs, chat shortcuts, chat screenshots, and message copying."
Distant Horizons,jeseibel,"Client, Optimization, Utility, Fabric, Forge",See farther without turning your game into a slide show
EMI Trades,Flamarine,"Client, Economy, Utility, Fabric, Forge, NeoForge, Quilt",Villager trading for EMI.
Superflat World No Slimes,Serilum,"Server, Management, Mobs, Utility, Fabric, Forge, NeoForge, Quilt",?? Removes those pesky slimes when you're trying to be creative in a superflat world.
Waystones,BlayTheNinth,"Client and server, Adventure, Magic, Transportation, Fabric, Forge","Teleport back to activated waystones. For Survival, Adventure or Servers."
Load My Resources,keksuccino,"Client, Utility, Fabric, Forge","Load resources on game start, like a resource pack, but enabled by default."
Searchables,jaredlll08,"Client, Library, Utility, Fabric, Forge","Searchables is a library mod that adds helper methods that allow for searching and filtering elements based on components, as well as offering built in auto-complete functionality."
Tool Stats,Darkhax,"Client, Adventure, Equipment, Utility, Fabric, Forge, Quilt",Provides additional tooltip info for items
Villager Names,Serilum,"Server, Adventure, Game Mechanics, Social, Fabric, Forge, NeoForge, Quilt",????? Gives all villager entities a default or custom name to liven up the world.
EMI Loot,fzzyhmstrs,"Client and server, Library, Management, Utility, Fabric, Quilt","A loot drop (chest, block, entity) plugin for the EMI Recipe and Item viewer."
Applied Energistics 2,shartte,"Client and server, Storage, Technology, Utility, Fabric, Forge, NeoForge",AE2: A popular automation and storage mod
Polymorph,TheIllusiveC4,"Client and server, Utility, Fabric, Forge, Quilt",No more recipe conflicts! Adds an option to choose the crafting result if more than one is available.
Repurposed Structures - Quilt/Fabric,TelepathicGrunt,"Server, World Generation, Fabric, Quilt",Adds more variations of vanilla structures and features such as a Jungle Fortress!
Hytils Reborn,Wyvest,"Client, Utility, Forge",Hypixel-focused Quality of Life mod.
Adorn,Juuz,"Client and server, Decoration, Storage, Fabric, Forge, Quilt",Decorate your home!
ForgetMeChunk,BreadLoaf,"Client, Optimization, Utility, Fabric",Fix (some) Lag Spikes
Better Third Person,socolio,"Client, Game Mechanics, Fabric, Forge, NeoForge",Improves third person camera view.
Monsters in the Closet,Minenash,"Client or server, Utility, Fabric",Highlights the mobs that are preventing you from sleeping
Curios API,TheIllusiveC4,"Client and server, Equipment, Library, Utility, Fabric, Forge, NeoForge",A flexible and expandable accessory/equipment API for users and developers.
Entity Collision FPS Fix,CorgiTaco,"Client, Optimization, Fabric, Forge",Client Side mod that optimizes entity's on the render thread. Fixes https://bugs.mojang.com/browse/MC-228976
Simple Discord RPC,hypherionsa,"Client, Library, Utility, Fabric, Forge, Quilt",A simple to use Discord RPC plugin for Minecraft and Modpacks
